"Country Name","Country Code","Classification Name","Classification Code","Sector Name","Sector Code","Unit Name","Unit Code",Attribute,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,"Indicator Code","Global DSD Time Series Code",
"United States","111","Social benefits expense","W0|S1|G27","Social security funds","S1314","Percent of GDP","XDC_R_B1GQ","Bases of recording (Gross/Net)","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",
"United States","111","Social benefits expense","W0|S1|G27","Social security funds","S1314","Percent of GDP","XDC_R_B1GQ","Nature of data","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A","A",
"Denmark","128","Social benefits expense","W0|S1|G27","Central government (excl. social security funds)","S1311","Percent of GDP","XDC_R_B1GQ","Value","3.16545220433298","3.15229969821425","3.06657173024414","3.05145677097374","2.95394086821864","2.78143687658269","2.66193785993699","2.68630618328365","3.08307730542702","3.22956321793381","3.21877094778472","3.25830790679904","3.33345943388453","3.37523628773979","3.27364174044224","3.1926517061081","3.11825113089158","3.07404867939014","2.98005816978295","3.1722285872746","GES_G14_GDP_PT","A|DK|S1311|W0|S1|G27|_Z|_Z|_Z|XDC_R_B1GQ|_T|_X",
"Denmark","128","Social benefits expense","W0|S1|G27","Central government (excl. social security funds)","S1311","Percent of GDP","XDC_R_B1GQ","Valuation","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",
"Denmark","128","Social benefits expense","W0|S1|G27","Central government (excl. social security funds)","S1311","Percent of GDP","XDC_R_B1GQ","Bases of recording (Cash/ Non Cash)","AC","AC","AC","AC","AC","AC","AC","AC","AC","AC","AC","AC","AC","AC","AC","AC","AC","AC","AC","AC",
"Denmark","128","Social benefits expense","W0|S1|G27","Central government (excl. social security funds)","S1311","Percent of GDP","XDC_R_B1GQ","Bases of recording (Gross/Net)","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",
"Denmark","128","Social benefits expense","W0|S1|G27","Central government (excl. social security funds)","S1311","Percent of GDP","XDC_R_B1GQ","Nature of data","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P",
"Lebanon","446","Interest expense","W0|S1|G24","Central government (excl. social security funds)","S1311","Percent of GDP","XDC_R_B1GQ","Status","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"Lebanon","446","Interest expense","W0|S1|G24","Central government (excl. social security funds)","S1311","Percent of GDP","XDC_R_B1GQ","Valuation","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",
"Lebanon","446","Interest expense","W0|S1|G24","Central government (excl. social security funds)","S1311","Percent of GDP","XDC_R_B1GQ","Bases of recording (Cash/ Non Cash)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",
