,,Tax_%_GDP,GINI_Index,Social_benefits_expense_%_GDP,Interest_expense_%_GDP,OilRrents_%_GDP,Agriculture_%_GDP,ControlofCorruption,GovernmentEffectiveness,RegulatoryQuality,RuleofLaw,Political_StabilityNoViolence,VoiceandAccountability
,,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean
País,Ano,,,,,,,,,,,,
Afghanistan,2014,7.170172449092476,35.17999999999999,1.6832499480650502,0.0297348387715821,0.0031661176658339,22.13704137195736,-1.3548288345336914,-1.332014799118042,-1.1181821823120115,-1.44576096534729,-2.4110684394836426,-1.13544499874115
Afghanistan,2015,7.879228980325967,38.559999999999995,1.609509585266,0.0551357843409016,0.0010763775293345,20.6343227166798,-1.342215895652771,-1.3231762647628784,-0.9973711371421814,-1.5040860176086426,-2.5712218284606934,-1.117563009262085
Afghanistan,2016,9.15742945308144,38.14,2.75854537334766,0.0506062577965167,0.0008722202537649,25.74031403645819,-1.5261715650558472,-1.2264013290405271,-1.3276876211166382,-1.4984782934188845,-2.671053886413574,-1.0378375053405762
Afghanistan,2017,9.517578553315296,37.2,3.115869279253089,0.0514041223377135,0.0012958971154482,26.420199083444835,-1.5156255960464478,-1.3255451917648315,-1.3366910219192505,-1.5624228715896606,-2.80108380317688,-0.9908540844917296
Albania,2002,20.56614145906732,31.7,7.78943586518384,4.05612485164015,0.664610136036389,22.025114087935343,-0.8686020374298096,-0.5333483219146729,-0.2246935665607452,-0.7621467709541321,-0.2945780754089355,-0.0081502264365553
Albania,2003,21.367859789393272,31.7,7.697918162282439,4.40048232786113,0.644512639910059,21.978257084596112,-0.8122751116752625,-0.5382093787193298,-0.4475813806056976,-0.7231403589248657,-0.308824211359024,0.0703077018260955
Albania,2004,22.33173972342363,31.7,8.814282919254989,3.85314935461138,0.68298105743337,20.53748630798096,-0.6991984248161316,-0.4158676862716675,-0.1657453328371048,-0.687772810459137,-0.4283775985240936,0.0072375005111098
Albania,2011,22.882265699165888,31.7,8.544654960944253,3.1630253986016577,2.73816308738722,18.226789602529248,-0.6829865574836731,-0.2082341164350509,0.2329359799623489,-0.4553453624248504,-0.2823794186115265,0.0623337626457214
Albania,2012,22.23897502221531,29.0,8.863475087607567,3.1161612812287074,3.00847566138625,18.766801894642228,-0.7264909148216248,-0.2678901255130768,0.1991688460111618,-0.5202895998954773,-0.1436315923929214,0.0220640543848276
Albania,2013,21.39524313137569,29.0,9.424998444504356,3.212297748531164,2.64966720733238,19.565157812322923,-0.6984319090843201,-0.3171469867229461,0.209718719124794,-0.5180738568305969,0.0919297859072685,0.0488925836980342
Albania,2014,23.93361502582952,34.6,9.633372369032127,2.86410416654722,2.77663351256861,19.99018135819767,-0.5481635332107544,-0.0859348401427269,0.2219903469085693,-0.337957352399826,0.4859862327575683,0.1437607407569885
Albania,2015,23.98563416732555,32.9,9.683469915066942,2.698012139668941,1.33705853816038,19.78021441713664,-0.4790350794792175,0.0100207813084125,0.1866678148508072,-0.3283078968524933,0.3461290597915649,0.1571486443281173
Albania,2016,23.537325829434543,33.7,10.120617679437194,2.465579475157201,1.15637306235545,19.84999446511631,-0.405148833990097,0.0130421472713351,0.1890220642089843,-0.3289996087551117,0.3446446657180786,0.1709267348051071
Albania,2017,25.281046737940144,33.2,10.022554470846346,2.0603980534564275,1.1397818150594,19.022148847737554,-0.4207218289375305,0.0768489390611648,0.2233640104532241,-0.4043230712413788,0.3784747719764709,0.203784555196762
Albania,2018,25.16474202413009,33.2,9.95708421088026,2.2347493298037824,1.54518807530349,18.42947924857536,-0.4786321222782135,0.0572398602962493,0.2541972696781158,-0.4033851027488708,0.3705156445503235,0.1807337999343872
Albania,2019,25.13046978794666,33.2,10.183040374644108,2.0943946900009323,1.35354642713977,18.391243514770984,-0.5330888032913208,-0.0622132010757923,0.2738677263259887,-0.4110932648181915,0.1111686304211616,0.1427107453346252
Albania,2020,24.44938177014862,33.2,11.409236320397415,2.140373189185428,1.35354642713977,19.12196261470776,-0.5401960611343384,-0.1357431560754776,0.2371310740709304,-0.3582943379878998,0.0839363187551498,0.0873399227857589
Argentina,2001,12.178406591481629,53.3,6.40021676242254,0.809363990192765,1.61339964771952,4.56858960891786,-0.192118763923645,0.0321771390736103,0.2572445869445801,-0.1499227285385131,0.0993587598204612,0.4183469712734222
Argentina,2002,17.607711907933233,53.8,6.00502739026368,6.47617712322829,4.70804086056989,10.206646714441105,-0.4682111740112304,-0.2803573310375213,-0.9190252423286438,-0.757995069026947,-0.7794153690338135,0.2600627541542053
